랭킹,시도,시군구,N_전력가용량,전력_점수,전력가용량_신규,전력가용량_신규,N_지진,N_홍수,N_산사태,N_해안,N_산불,재해_점수,N_취수여유율,N_냉각일수,냉각_점수,N_발전량,N_접근성,신재생_점수,네트워크_점수,종합_점수
68,충남,보령시,0.1310344827586207,13.1,0.0,0.0,0.9275862068965517,0.5586206896551724,0.3758620689655172,0.14482758620689656,0.1793103448275862,53.76,0.9241379310344827,0.8,87.45,0.7862068965517242,0.7586206896551724,78.07,73.89,52.136
69,전북,김제시,0.38620689655172413,38.62,620750.0,620750.0,0.034482758620689655,0.11724137931034483,0.5206896551724138,0.596551724137931,0.7586206896551724,30.76,0.6482758620689655,0.5448275862068965,60.69,0.9103448275862069,0.6206896551724138,85.24,61.78,51.944
70,경남,창원시,0.5,50.0,853812.5,853812.5,0.32413793103448274,0.6344827586206897,0.9517241379310345,0.596551724137931,0.8206896551724138,62.26,0.6896551724137931,0.15172413793103448,47.45,0.6344827586206897,0.3103448275862069,56.97,19.75,51.822
71,전북,고창군,0.33793103448275863,33.79,422500.0,422500.0,0.3103448275862069,0.20689655172413793,0.6655172413793103,0.596551724137931,0.36551724137931035,39.54,0.6482758620689655,0.5862068965517241,62.34,0.8482758620689655,0.896551724137931,85.79,47.77,51.753
72,강원,횡성군,0.7517241379310344,75.17,2430900.0,2430900.0,0.8827586206896552,0.1793103448275862,0.21379310344827587,0.596551724137931,0.6068965517241379,49.86,0.19310344827586207,0.006896551724137931,11.86,0.4413793103448276,0.1310344827586207,37.93,91.72,50.827
73,충북,보은군,0.6827586206896552,68.28,1848000.0,1848000.0,0.09655172413793103,0.15172413793103448,0.21379310344827587,0.596551724137931,0.6482758620689655,26.06,0.08275862068965517,0.9379310344827586,42.48,0.47586206896551725,0.36551724137931035,45.38,79.62,50.661
74,강원,삼척시,0.5724137931034483,57.24,1185825.0,1185825.0,0.3931034482758621,0.2413793103448276,0.2413793103448276,0.04827586206896552,0.22758620689655173,26.21,0.20344827586206896,0.6517241379310345,38.28,0.7172413793103448,0.8344827586206897,74.07,57.32,50.611
75,강원,양양군,0.6620689655172414,66.21,1678900.0,1678900.0,0.9758620689655172,0.5,0.3620689655172414,0.04827586206896552,0.19310344827586207,52.41,0.4068965517241379,0.3793103448275862,39.59,0.15172413793103448,0.6413793103448275,24.97,71.34,50.132
76,경남,양산시,0.6344827586206897,63.45,1509600.0,1509600.0,0.46206896551724136,0.4103448275862069,0.4862068965517241,0.596551724137931,0.3931034482758621,46.13,0.46206896551724136,0.21724137931034482,36.41,0.42758620689655175,0.7862068965517242,49.93,22.93,49.849
77,충북,영동군,0.6896551724137931,68.97,1888000.0,1888000.0,0.2689655172413793,0.027586206896551724,0.09655172413793103,0.596551724137931,0.2896551724137931,21.35,0.36551724137931035,0.7724137931034483,52.83,0.3310344827586207,0.5172413793103449,36.83,65.61,49.62
78,경북,포항시,0.5,50.0,853812.5,853812.5,0.6620689655172414,0.2793103448275862,0.9517241379310345,0.596551724137931,0.8551724137931035,63.58,0.5517241379310345,0.041379310344827586,34.76,0.5724137931034483,0.25517241379310346,50.9,28.66,48.78
79,충남,아산시,0.1310344827586207,13.1,0.0,0.0,0.6482758620689655,0.1793103448275862,0.593103448275862,0.596551724137931,0.6758620689655173,51.24,0.9862068965517241,0.503448275862069,79.31,0.6275862068965518,0.7379310344827587,64.97,94.9,48.435
80,경남,합천군,0.5310344827586206,53.1,862125.0,862125.0,0.11724137931034483,0.2793103448275862,0.25862068965517243,0.596551724137931,0.04827586206896552,23.69,0.21379310344827587,0.7379310344827587,42.34,0.8206896551724138,0.27586206896551724,71.17,43.95,48.225
81,충남,홍성군,0.1310344827586207,13.1,0.0,0.0,0.7655172413793103,0.8620689655172413,0.506896551724138,0.14482758620689656,0.034482758620689655,57.67,0.7896551724137931,0.7448275862068966,77.17,0.5517241379310345,0.8275862068965517,60.69,84.08,47.896
82,경북,영양군,0.36551724137931035,36.55,514800.0,514800.0,0.2896551724137931,0.5724137931034483,0.41379310344827586,0.596551724137931,0.3793103448275862,43.56,0.020689655172413793,0.9517241379310345,39.31,0.9241379310344827,0.20689655172413793,78.07,55.41,47.751
83,충남,당진시,0.1310344827586207,13.1,0.0,0.0,0.6896551724137931,0.08620689655172414,0.33448275862068966,0.14482758620689656,0.16551724137931034,33.34,0.4206896551724138,0.6517241379310345,51.31,0.9862068965517241,0.9241379310344827,97.38,98.09,45.898
84,전남,나주시,0.1310344827586207,13.1,0.0,0.0,0.8689655172413793,0.04482758620689655,0.5413793103448276,0.596551724137931,0.803448275862069,54.86,0.9862068965517241,0.3482758620689655,73.1,0.8758620689655172,0.10344827586206896,72.14,25.48,45.881
85,전남,해남군,0.1310344827586207,13.1,0.0,0.0,0.9758620689655172,0.5379310344827586,0.3482758620689655,0.14482758620689656,0.6206896551724138,59.41,0.9724137931034482,0.296551724137931,70.21,0.9379310344827586,0.006896551724137931,75.17,4.46,45.768
86,경남,밀양시,0.7103448275862069,71.03,2018250.0,2018250.0,0.18620689655172415,0.1793103448275862,0.6551724137931034,0.596551724137931,0.06206896551724138,31.26,0.16551724137931034,0.38620689655172413,25.38,0.33793103448275863,0.6620689655172414,40.28,28.03,45.645
