랭킹,시도,시군구,종합_점수,전력_점수,재해_점수,냉각_점수,신재생_점수,네트워크_점수
96,부산,해운대구,42.781,13.1,70.7,56.21,61.52,10.19
97,경북,문경시,42.688,39.31,23.29,49.79,52.14,77.71
98,강원,속초시,42.579,57.93,59.18,22.07,12.28,71.97
99,경남,함양군,42.171,46.9,31.54,57.79,27.03,49.68
100,대구,군위군,42.112,31.72,51.08,46.76,43.03,56.69
101,부산,기장군,41.874,26.21,67.43,56.21,36.69,12.74
102,경북,예천군,41.777,46.21,30.32,25.1,55.72,67.52
103,경북,청송군,41.643,35.17,52.54,48.41,32.97,50.96
104,경남,거제시,41.52,44.83,51.58,58.21,17.93,5.73
105,경북,봉화군,41.211,37.93,34.98,40.69,47.45,66.24
106,경북,울진군,41.083,33.1,33.34,62.48,38.76,51.59
107,부산,금정구,40.828,26.9,71.32,56.21,25.24,17.2
108,전북,무주군,40.736,42.76,33.06,43.17,37.66,59.87
109,부산,남구,40.512,28.97,70.26,56.21,23.17,8.92
110,전남,화순군,40.342,13.1,39.69,70.34,61.1,30.57
111,경북,청도군,40.34,56.55,42.26,28.07,23.17,36.94
112,충남,예산군,40.332,13.1,50.4,52.14,53.1,92.36
113,충남,계룡시,39.993,13.1,61.91,84.34,11.03,78.98
114,전남,무안군,39.892,13.1,64.2,38.55,67.72,24.2
115,전북,남원시,39.849,13.1,27.88,58.21,79.72,42.04
116,전남,영광군,39.822,13.1,56.9,27.03,83.17,36.31
117,광주,광산구,39.68,13.1,60.41,32.0,74.62,33.76
118,전남,강진군,39.6,13.1,69.71,50.21,53.24,7.64
119,전남,영암군,39.55,13.1,76.27,21.1,72.83,18.47
120,경남,하동군,38.519,27.59,25.82,31.03,80.14,29.3
121,전남,구례군,37.818,13.1,48.47,89.79,18.34,38.22
122,부산,사하구,37.735,13.1,76.62,56.21,30.21,10.83
123,경남,사천시,37.675,35.86,31.28,39.1,49.66,22.29
124,경남,산청군,37.649,41.38,27.95,35.03,43.45,37.58
125,울산,울주군,37.426,13.1,52.18,26.28,80.97,19.11
126,부산,영도구,36.992,13.1,83.24,56.21,20.83,7.01
127,전북,순창군,36.763,29.66,45.6,46.07,29.1,44.59
128,부산,부산진구,36.6,13.1,81.48,56.21,19.03,13.38
129,충남,공주시,36.563,13.1,41.12,37.93,59.17,86.62
130,부산,사상구,36.424,13.1,77.5,56.21,21.66,15.29
131,부산,서구,36.131,13.1,78.63,56.21,19.86,12.1
