시도,시군구,신재생발전량_GWh,신재생발전량_MWh,PPA가능용량_kW,신재생접근성_유효,시군구자급률
경북,영양군,735.059,735059.0,112320.93,8.31294107372757,6.374891223598143
전남,영광군,807.107,807107.0,96203.485,11.77789735575362,20.0
강원,화천군,313.93,313930.0,74589.73,7.909400581862589,2.5750407179516057
전남,신안군,1117.637,1117637.0,104959.14,2.7283672110731643,3.184702649347807
경북,울진군,119.35,119350.0,13184.81,21.103866773888942,20.0
부산,기장군,56.401,56401.0,19173.215,187.24061771213923,16.003781970271074
전북,남원시,632.253,632253.0,455478.768,11.773402644155455,0.9142347567564278
충남,태안군,1531.667,1531667.0,98112.495,20.57795752785453,1.5265517023255046
경북,경주시,356.24,356240.0,156104.815,23.661421076525503,16.868694769543783
강원,평창군,506.683,506683.0,114936.77,7.590093049200035,0.7917782686436441
강원,양구군,117.122,117122.0,83157.965,5.501769801327785,0.5483691129329673
강원,철원군,223.983,223983.0,96103.045,7.645182164334927,0.4482168239275371
전북,무주군,76.725,76725.0,66781.77,48.19223537491875,3.168486585740009
전북,진안군,340.529,340529.0,147813.085,10.174972999825089,1.5357610841039366
전북,임실군,282.934,282934.0,199478.75,10.671921302537456,0.963573082954044
경북,청송군,92.711,92711.0,30336.115,16.037308757896348,3.1955332529829628
경북,상주시,566.321,566321.0,357006.96,7.585227969258957,0.6712942464192673
부산,사하구,31.01,31010.0,6732.8,745.6543466647471,0.0132629340500677
전북,순창군,108.711,108711.0,106284.64,9.721113259893604,0.3882894743374664
충남,예산군,188.824,188824.0,150477.165,23.831096134706726,0.1342339993174471
충남,서산시,1806.123,1806123.0,192637.805,150.4877131844591,0.1842062869905814
전남,나주시,535.092,535092.0,356235.485,7.079790523987521,0.3783249696823788
충남,홍성군,228.34,228340.0,134861.265,38.387674814837446,0.2027061978729413
전남,구례군,25.489,25489.0,7859.255,12.015961214794109,0.133889714460709
전북,김제시,712.102,712102.0,543518.707,16.815767448127353,0.6084068508343065
전북,장수군,281.719,281719.0,164003.33,11.974728213238464,1.2519010993554402
전남,함평군,130.981,130981.0,109756.445,10.239144502456822,0.2972501104767738
