시도,시군구,지진위험지수,재해위험_가중합,산사태_건수,해안위험_등급
대구,달성군,32.945,12360.0,30.0,0
대구,북구,22.274,9888.0,3.0,0
경남,창원시,23.747,17304.0,0.0,0
대구,서구,28.671,0.0,1.0,0
경북,고령군,38.963,16068.0,55.0,0
경남,함안군,39.028,33372.0,42.0,0
경북,구미시,42.053,19776.0,76.0,0
전북,전주시,34.621,38316.0,0.0,0
대구,동구,21.767,9888.0,0.0,0
경북,성주군,37.103,37080.0,67.0,0
경남,창녕군,46.129,61800.0,20.0,0
제주,서귀포시,0.0,101352.0,190.0,1
제주,제주시,0.0,100116.0,177.0,1
