시도,시군구,연평균기온_C,평균풍속_ms,연간_15도이하_일수,취수여유량_m3년,취수여유율_%,N_기온,N_풍속,N_냉각일수,N_취수여유율,냉각_종합
부산,북구,16.04205479452055,1.981917808219178,169.8,638966794.0,60.1,0.0444287732916695,0.29606213298106865,0.3430303030303032,0.677445432497979,0.3825190788908599
경남,창원시,15.397399635036496,1.88817119503888,170.0,112645668.0,50.4,0.15049007075999943,0.2705864281593157,0.34545454545454546,0.5990299110751819,0.3809085375649133
경남,통영시,15.71405455386038,3.5464377497894297,167.5,281101.0,42.8,0.09839271134838878,0.7212214733247515,0.3151515151515151,0.5375909458367016,0.37970664210197547
전남,장흥군,14.109951624049756,1.5104176087093395,187.25,14627652.0,20.0,0.3623062711880859,0.16793163846380435,0.5545454545454546,0.3532740501212611,0.3777037561604015
울산,북구,14.22078729281768,1.9973442636826544,172.6,28044597.0,28.5,0.3440711346777313,0.3002542825692101,0.3769696969696969,0.42198868229587716,0.3774361809725307
경남,양산시,14.798632010943912,1.6782668500687756,174.5,10393700.0,38.4,0.2490017636534767,0.21354478204696722,0.4,0.502021018593371,0.37686341473808815
대구,서구,15.317920656634746,1.67,176.4,178879450.0,44.7,0.1635662766147601,0.21129826001258956,0.4230303030303031,0.5529506871463218,0.37598604445027634
경남,사천시,15.03734610123119,1.818487684729064,174.5,318893.0,39.7,0.20972754740411925,0.25164988763403584,0.4,0.5125303152789006,0.3730953790961996
경남,밀양시,14.044969199178643,1.4079343365253076,182.5,1276591.0,21.9,0.3729974449002216,0.1400817407154294,0.49696969696969695,0.3686337914308811,0.37275486350790127
경북,포항시,15.733882030178329,3.3155219780219776,167.0,20326561.0,43.2,0.0951306140350171,0.6584699579295136,0.3090909090909091,0.5408245755860954,0.3725341920560765
전남,함평군,14.442669432918397,1.8447766310975016,185.25,806572.0,22.1,0.3075661795588329,0.25879392638953896,0.5303030303030303,0.370250606305578,0.372310095089441
광주,광산구,14.692032967032969,1.8101108033241,183.3,39968032.0,27.2,0.2665398733540597,0.2493734645104691,0.5066666666666668,0.4114793856103476,0.3708243960347372
울산,동구,15.006019151846784,3.076744186046512,172.6,28044597.0,28.5,0.21488158495202936,0.5935819332852771,0.3769696969696969,0.42198868229587716,0.3680120811264268
대구,북구,15.324897400820792,1.3,176.4,178879450.0,44.7,0.16241843419142643,0.11075051258709026,0.4230303030303031,0.5529506871463218,0.36558691698072626
전북,전주시,15.376607387140902,1.434794520547945,171.5,33777630.0,47.8,0.15391089623024734,0.14738101368545797,0.36363636363636365,0.5780113177041228,0.36484317004654193
경북,영천시,13.925943719972546,1.5145819819132291,186.5,2092011.0,12.1,0.39258000244384217,0.16906330966675087,0.5454545454545454,0.28940986257073564,0.3595351858190311
경남,의령군,14.441176470588236,2.0623803009575923,180.0,942436.0,16.9,0.3078118078136892,0.317927869189415,0.4666666666666667,0.32821341956345995,0.3487550304217656
경남,하동군,14.705426356589149,1.199810641471967,176.16666666666666,961346.0,31.0,0.2643363382501692,0.08352398740871331,0.4202020202020201,0.4421988682295877,0.3485732515481612
울산,울주군,15.266243131868134,2.789021160453628,172.6,28044597.0,28.5,0.1720684738686924,0.5153930086749695,0.3769696969696969,0.42198868229587716,0.34734925534039496
전남,영광군,15.465161596958175,2.3262788462233703,168.33333333333334,2570718.0,37.2,0.13934159626990938,0.38964247533898305,0.32525252525252535,0.49232012934519,0.3427452832034522
광주,서구,15.035408022130014,1.371625344352617,183.3,39968032.0,27.2,0.2100464080865212,0.13021474781203982,0.5066666666666668,0.4114793856103476,0.34196048478463276
강원,동해시,13.678042328042327,1.1252659574468085,149.25,9261517.0,33.8,0.43336575104991437,0.06326641967553685,0.09393939393939393,0.4648342764753436,0.3410579566605442
광주,북구,14.945327754532777,1.154869684499314,183.3,39968032.0,27.2,0.22486678130016902,0.07131125229858754,0.5066666666666668,0.4114793856103476,0.3405162471973819
전남,곡성군,14.22378551787351,1.300977187524771,183.83333333333337,226031.0,13.8,0.3435778544567557,0.11101606395040925,0.5131313131313135,0.30315278900565884,0.3380623409605939
광주,남구,14.939780521262003,0.8924554183813443,183.3,39968032.0,27.2,0.22577943475434847,0.0,0.5066666666666668,0.4114793856103476,0.33365891800377695
대구,동구,15.96470588235294,1.265389876880985,176.4,178879450.0,44.7,0.05715453195747522,0.10134518848510064,0.4230303030303031,0.5529506871463218,0.333067213900342
전남,영암군,14.811372007366485,2.019811132815978,179.83333333333334,835004.0,17.6,0.24690572745421424,0.3063596692801809,0.46464646464646475,0.3338722716248989,0.3311858867435349
경남,김해시,14.81006160164271,1.5928751420992802,175.0,21681030.0,22.0,0.24712132075123316,0.19033952830332174,0.40606060606060607,0.3694421988682296,0.3221593498151152
전남,순천시,14.84519890260631,1.7910382486704322,177.5,5016573.0,15.6,0.2413403886126969,0.24419048502918253,0.43636363636363634,0.31770412287793043,0.3111755415106268
경남,함안군,14.116381766381767,1.646099290780142,175.5,580642.0,7.0,0.36124835793228427,0.20480322629926906,0.4121212121212121,0.24818108326596602,0.310551505740241
울산,남구,15.655813953488371,2.1360881542699723,172.6,28044597.0,28.5,0.10797469258271819,0.33795802761679056,0.3769696969696969,0.42198868229587716,0.31037762284878473
전남,여수시,16.312098991750688,3.1620646777456733,159.91666666666666,424660.0,38.5,0.0,0.6167678339598357,0.22323232323232312,0.5028294260307195,0.307455018454736
경북,예천군,13.6621492128679,1.2722588685043943,186.25,-288024.0,-6.2,0.43598055121309376,0.10321184155217747,0.5424242424242425,0.14147130153597412,0.30618871861838404
전남,장성군,14.3986941580756,1.5442055756033062,184.75,-16784.0,-0.9,0.3148011712248987,0.17711354106184676,0.5242424242424243,0.18431689571544058,0.2907269486083154
전남,담양군,14.802291666666664,1.9153390705612023,173.25,182362.0,8.8,0.24839966216009368,0.27796931650014234,0.38484848484848483,0.26273241713823764,0.28437949412303437
경북,고령군,14.021703296703295,0.9397435897435898,183.0,-777338.0,-23.7,0.3768252461161181,0.012850592190121059,0.503030303030303,0.0,0.21493869365990817
